field,year,fieldtype
#COSMOS
COSMOS,1,df_y1
COSMOS,2,ud
COSMOS,3,ud
COSMOS,4,ud
COSMOS,5,ud
COSMOS,6,df
COSMOS,7,df
COSMOS,8,df
COSMOS,9,df
COSMOS,10,df
#XMM_LSS
XMM_LSS,1,df_y1
XMM_LSS,2,ud
XMM_LSS,3,ud
XMM_LSS,4,ud
XMM_LSS,5,ud
XMM_LSS,6,df
XMM_LSS,7,df
XMM_LSS,8,df
XMM_LSS,9,df
XMM_LSS,10,df
#CDFS
CDFS,1,df_y1
CDFS,2,df
CDFS,3,df
CDFS,4,df
CDFS,5,df
CDFS,6,df
CDFS,7,df
CDFS,8,df
CDFS,9,df
CDFS,10,df
#ELAISS1
ELAISS1,1,df_y1
ELAISS1,2,df
ELAISS1,3,df
ELAISS1,4,df
ELAISS1,5,df
ELAISS1,6,df
ELAISS1,7,df
ELAISS1,8,df
ELAISS1,9,df
ELAISS1,10,df
#EDFS
EDFS,1,df_y1
EDFS,2,df
EDFS,3,df
EDFS,4,df
EDFS,5,df
EDFS,6,df
EDFS,7,df
EDFS,8,df
EDFS,9,df
EDFS,10,df
